DEBUG:root: 0: regs[a:7  ['cpy', 'a', 'b']
DEBUG:root: 1: regs[a:7, b:7  ['dec', 'b']
DEBUG:root: 2: regs[a:7, b:6  ['cpy', 'a', 'd']
DEBUG:root: 3: regs[a:7, b:6, d:7  ['cpy', '0', 'a']
DEBUG:root: 4: regs[a:0, b:6, d:7  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:0, b:6, d:7, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:1, b:6, d:7, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:1, b:6, d:7, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:1, b:6, d:7, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:2, b:6, d:7, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:2, b:6, d:7, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:2, b:6, d:7, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:3, b:6, d:7, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:3, b:6, d:7, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:3, b:6, d:7, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:4, b:6, d:7, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:4, b:6, d:7, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4, b:6, d:7, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:5, b:6, d:7, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:5, b:6, d:7, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:5, b:6, d:7, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:6, b:6, d:7, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:6, b:6, d:7, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:6, b:6, d:7, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:6, b:6, d:6, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:6, b:6, d:6, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:6, b:6, d:6, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:7, b:6, d:6, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:7, b:6, d:6, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:7, b:6, d:6, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:8, b:6, d:6, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:8, b:6, d:6, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:8, b:6, d:6, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:9, b:6, d:6, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:9, b:6, d:6, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:9, b:6, d:6, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:10, b:6, d:6, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:10, b:6, d:6, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:10, b:6, d:6, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:11, b:6, d:6, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:11, b:6, d:6, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:11, b:6, d:6, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:12, b:6, d:6, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:12, b:6, d:6, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:12, b:6, d:6, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:12, b:6, d:5, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:12, b:6, d:5, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:12, b:6, d:5, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:13, b:6, d:5, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:13, b:6, d:5, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:13, b:6, d:5, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:14, b:6, d:5, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:14, b:6, d:5, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:14, b:6, d:5, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:15, b:6, d:5, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:15, b:6, d:5, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:15, b:6, d:5, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:16, b:6, d:5, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:16, b:6, d:5, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:16, b:6, d:5, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:17, b:6, d:5, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:17, b:6, d:5, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:17, b:6, d:5, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:18, b:6, d:5, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:18, b:6, d:5, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:18, b:6, d:5, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:18, b:6, d:4, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:18, b:6, d:4, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:18, b:6, d:4, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:19, b:6, d:4, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:19, b:6, d:4, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:19, b:6, d:4, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:20, b:6, d:4, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:20, b:6, d:4, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:20, b:6, d:4, c:4  ['inc', 'a']
